scenario,n_rows,fixed_check,sweep_check,metric_check,objective_check,overall,fixed_summary,sweep_summary,metric_summary,purpose_summary,evidence
C0,9,PASS,WARN,PASS,PASS,WARN,LOSflag=1 9/9,"d_m=3, yaw=3, rep=1","XPD_floor=9/9, Delta_floor=9/9","calibration floor 추정은 성립, 반복 불확실도(Delta_repeat)는 rep 다양성 부족으로 제한","evidence/tables/intermediate_link_rows.csv, evidence/tables/diagnostic_checks.json"
A2_off,4,PASS,PASS,PASS,PASS,PASS,"LOS=0 4/4, bounce=1 odd 확인","d_m=2, cases=4","XPD_target_raw=4/4, XPD_early_ex/rho_early complete",odd parity 원인 고립 구현,"evidence/tables/target_level.csv, evidence/tables/A3_target_window_sign.csv"
A6_off,100,PASS,PASS,PASS,PASS,PASS,"LOS=0 100/100, mode=2","case_set=2, d_m=6","XPD_target_raw sign hit odd=1.000, even=1.000",G2-core near-normal parity benchmark 구현,"evidence/tables/A3_target_window_sign.csv, evidence/tables/A6_case_set_sign_compare.csv"
A3_supp,12,PASS,PASS,PASS,WARN,WARN,"LOS=0 12/12, bounce=2 even 확인","case_n=12, d_m=2","XPD_target_raw=12/12, sign_hit_raw=0.667",supporting mechanism 용도로 구현(코어 정리에는 보조),"evidence/tables/target_level.csv, evidence/tables/A3_target_window_sign.csv"
A4_iso,12,PASS,PASS,PASS,WARN,WARN,"LOS=0 12/12, include_late_panel=0","material=3, dispersion=2","XPD_target_raw/ex=12/12, XPD_early_ex=12/12",target reflection material dependence는 구현되었으나 effect-size는 경계권,"evidence/tables/intermediate_link_rows.csv, evidence/tables/case_level.csv, evidence/tables/target_level.csv"
A4_bridge,12,PASS,PASS,PASS,WARN,WARN,"LOS=0 12/12, include_late_panel=1","material=3, dispersion=2","XPD_late_ex=12/12, L_pol=12/12",late/leakage 구조 관측은 구현; 1차(material primary) 주장에는 보조로만 사용,"evidence/tables/intermediate_link_rows.csv, evidence/tables/case_level.csv, evidence/tables/target_level.csv"
A5_pair,60,PASS,PASS,WARN,PASS,WARN,"LOS=0 60/60, base=30, stress=30","stress_mode=2, scatterer_count=2","ΔL_pol/Δrho/ΔXPD_late: full, ΔDS finite base/stress=30/30 & 29/30",paired contamination/stress-response 검증 구성 완료,"evidence/tables/case_level.csv, evidence/tables/intermediate_link_rows.csv, evidence/tables/diagnostic_checks.json"
A2_on,4,PASS,PASS,PASS,PASS,PASS,LOS=1 4/4,"d_m=2, cases=4",Δmetric source rows=4 (XPD_early_ex/rho/early_fraction complete),odd mechanism LOS-under observability 구현,"evidence/tables/case_level.csv, evidence/tables/intermediate_link_rows.csv"
Even-LOS-on bridge,112,PASS,PASS,PASS,PASS,PASS,"A6_on=100 (LOS+target 동시 링크 100/100), A3_on=12","a6_mode=2, d_m=6",ΔXPD_early_ex/L_pol finite=112/112,A6_on primary bridge + A3_on exploratory bridge 동시 확보,"evidence/tables/case_level.csv, evidence/tables/intermediate_link_rows.csv, evidence/tables/intermediate_ray_rows.csv"
A4_on,24,PASS,PASS,PASS,PASS,PASS,LOS=1 24/24,"material=3, dispersion=2",XPD_early_ex/L_pol finite=24/24,material effect LOS-under system relevance 구현,"evidence/tables/case_level.csv, evidence/tables/intermediate_link_rows.csv"
B1,25,PASS,PASS,WARN,WARN,WARN,"n=25, LOS1=24, LOS0=1","grid rx_x=5, rx_y=5","XPD/rho/L_pol full, DS=1/25, early_frac=1/25",coverage-aware leverage/risk map 용도로 구현(absolute universal map 아님),"evidence/tables/case_level.csv, evidence/tables/B_per_scenario_summary.csv, evidence/tables/D3_hole_analysis.csv"
B2,25,PASS,PASS,WARN,PASS,WARN,"n=25, LOS1=19, LOS0=6","grid rx_x=5, rx_y=5","XPD/rho/L_pol full, DS=6/25, early_frac=6/25",coverage-aware leverage/risk map 용도로 구현(absolute universal map 아님),"evidence/tables/case_level.csv, evidence/tables/B_per_scenario_summary.csv, evidence/tables/D3_hole_analysis.csv"
B3,25,PASS,PASS,WARN,WARN,WARN,"n=25, LOS1=20, LOS0=5","grid rx_x=5, rx_y=5","XPD/rho/L_pol full, DS=5/25, early_frac=5/25",coverage-aware leverage/risk map 용도로 구현(absolute universal map 아님),"evidence/tables/case_level.csv, evidence/tables/B_per_scenario_summary.csv, evidence/tables/D3_hole_analysis.csv"
