check_id,description,passed,metric,expected,details
1,"matched ideal LoS gamma < 0.05",1,0,"<0.05","Empty-scene matched ideal CP pair"
2,"matched patch_ffd LoS gamma ~= 0.10",1,0.101575623419,"0.10+/-0.05","Week 3 Day 3 boresight LoS reproduction"
3,"single-bounce NLoS gamma threshold by antenna type",1,[56.2341 0.600962],"ideal>1, patch in [0.3,1.2]","ideal=56.234133, patch=0.600962"
4,"eps_r up -> reflected power up",1,3.64387591613e-07,"monotonic","eps=[2 4 6 8 10], power=[4.073e-08 1.513e-07 2.393e-07 3.084e-07 3.644e-07]"
5,"SNR 30->10 mean stable, variance up",1,9.895075229,"std10>std30 & mean shift <20%","mean30=0.101653,std30=0.003060,mean10=0.108870,std10=0.030279"
6,"same case twice bit-exact",1,1,"true","case_id-local noise stream keeps repeated calls bit-exact"
7,"checkpoint resume == fresh",1,1,"true","case_id seeding removes dependency on saved RNG state"
8,"shuffle order preserves case_id outputs",1,1,"true","case_id seeding removes order-dependent RNG consumption"
9,"is_los/is_nlos not used in +features",1,0,"0 hits","Feature code grep"
10,"bounce_to_los_ratio_mid only used for labeling",1,0,"0 hits in +features","Feature code grep"
11,"mixed@0.33 == geo OR bounce",1,1,"true","CSV unit test"
12,"numeric NaN/Inf ratio == 0%%",1,0,"0","worst="
13,"negative xpd cases consistent with raw FFD sign",0,0.486988847584,">=0.95","neg_cases=269"
14,"num_paths not capped by enumeration truncation",1,1,"true","max num_paths=24, A=24, B=24, C=24; enumeratePaths has no hard truncation cap"
15,"MAT and CSV agree for sampled cases",1,1,"true","sample_ids=1,123,450,777,900"
