plot_id,proposition,scenario,needed_data,plot_desc,pass_rule,proposition_status,plot_ready,expected_file,notes
M1-1,M1,C0,"co/cross PDP, W_floor","C0 raw PDP overlay facet(d,yaw)",LOS-only contamination low,PASS,READY,M1-1__C0_raw_pdp_overlay_grid.png,C0 facet raw PDP
M1-2,M1,C0,rays(C_floor),C_floor boxplot,C_floor below -10/-15 dB,PASS,READY,M1-2__C_floor_box_by_yaw.png,C_floor threshold lines
M1-3,M1,C0,"XPD_floor,d",XPD_floor vs distance,weak distance dependence,PASS,READY,C0__ALL__xpd_floor_vs_distance.png,
M1-4,M1,C0,"XPD_floor,yaw",XPD_floor vs yaw,yaw-driven spread,PASS,READY,C0__ALL__xpd_floor_vs_yaw.png,
M1-5,M1,C0,"xpd_floor_curve,freq",XPD_floor vs subband/frequency,frequency baseline decision,PASS,READY,M1-5__xpd_floor_vs_frequency.png,frequency-dependent floor
M1-6,M1,C0,repeat_id,repeatability strip+box,Delta_repeat estimation,PASS,READY,M1-6__repeatability_strip_box.png,repeat strip+box
M1-7,M1,C0,"Delta_floor,Delta_repeat",uncertainty budget summary,Delta_ref=max(),PASS,READY,M1-7__uncertainty_budget_summary.png,"Delta_ref=max(Delta_floor,Delta_repeat)"
M2-1,M2,A2/A3/A4/A5/B,"XPD_early_ex, XPD_late_ex",scenario-wise excess box,beyond ±Delta_ref,PASS,READY,M2-1__scenario_early_late_ex_box.png,with ±Delta_ref lines
M2-2,M2,A2/A3/A4/A5/B,"XPD_ex,Delta_ref",exceedance rate,channel-claim fraction,PASS,READY,M2-2__exceedance_rate_bar.png,early/late exceedance
M2-3,M2,C0 + indoor,floor vs indoor distributions,CDF overlay,separable distributions,PASS,READY,M2-3__cdf_floor_vs_indoor_overlay.png,C0 floor vs indoor excess
G1-1,G1,A2,"PDP, W_target/W_early",A2 PDP overlay,odd cross-dominant trend,PASS,READY,G1-1__A2_pdp_overlay_target_early.png,W_target/W_early shown
G1-2,G1,A2,XPD_early_ex,A2 XPD distribution by case,sign stability,PASS,READY,G1-2__A2_xpd_early_ex_by_case.png,case-wise early excess
G1-3,G1,A2,rho_early + incidence,rho vs angle,odd supports rho increase,PASS,READY,G1-3__A2_rho_vs_incidence.png,dominant-incidence proxy
G2-1,G2,A3,PDP + target window,A3 target-window PDP,even mechanism visibility,PASS,READY,G2-1__A3_pdp_overlay_target_early.png,A3 mechanism view
G2-2,G2,A3,target-window summary,A3 XPD_target_ex summary,co-dominant tendency,PASS,READY,G2-2__A3_xpd_target_ex_summary.png,from A3_target_window_sign.csv
G2-3,G2,A2/A3,target-window summary,A2 vs A3 target compare,sign reversal,PASS,READY,G2-3__A2_vs_A3_target_window_compare.png,target-window median compare
G2-4,G2,A3,target_in_early/first rates,A3 system-early suitability,role split,PASS,READY,G2-4__A3_target_inearly_first_rate.png,diagnostic role split
G3-1,G3,A2/A3,XPD_ex,A2/A3 variance violin,not perfectly separable,PASS,READY,G3-1__A2_A3_xpd_ex_violin.png,A2/A3 variance view
G3-2,G3,A2/A3/A4/A5,|XPD_ex| + U,|XPD_ex| vs EL,conditional variation,PASS,READY,G3-2__abs_xpd_ex_vs_el_scatter.png,conditioned by EL
G3-3,G3,A2/A3/A4/A5,variance,variance summary,leakage spread quantification,PASS,READY,G3-3__variance_xpd_ex_by_scenario.png,variance summary
L1-1,L1,A2-A5+B,early/late excess,paired early-late plot,late dirtier trend,PASS,READY,L1-1__early_late_paired_lines.png,paired sampled cases
L1-2,L1,A2-A5+B,L_pol,L_pol by scenario,L_pol > 0 tendency,PASS,READY,L1-2__lpol_box_by_scenario.png,zero line shown
L2-M1,L2,A4,"material,angle,XPD_ex",material x angle branch,material dependence,PASS,READY,L2-M1__A4_material_angle_xpd_early_ex.png,material x angle-bin
L2-M2,L2,A4,|XPD_ex|,abs XPD by material,toward 0dB/dispersion,PASS,READY,L2-M2__A4_abs_xpd_ex_by_material.png,toward 0 dB check
L2-M3,L2,A4,variance,variance by material,dispersion growth,PASS,READY,L2-M3__A4_variance_by_material.png,variance/IQR proxy
L2-S1,L2,A5,base/stress L_pol,paired L_pol,stress-response,PASS,READY,L2-S1__A5_base_stress_lpol_paired.png,paired by case_id
L2-S2,L2,A5,base/stress late_ex,late-ex compare,late contamination,PASS,READY,L2-S2__A5_base_stress_xpd_late_ex.png,late-ex branch
L2-S3,L2,A5,base/stress DS,tail variance/DS,tail widening,PASS,READY,L2-S3__A5_base_stress_ds_tail.png,stress tail widening proxy
L3-1,L3,A3/A4/B,"EL,XPD_ex",scatter + regression,a1<0 monotonic tendency,PARTIAL,READY,L3-1__el_vs_xpd_ex_scatter_regression.png,subset=A3/A4/B
L3-2,L3,A3/A4/B,EL bins,conditional boxplot,nonparametric monotonicity,PARTIAL,READY,L3-2__el_bin_conditional_box.png,nonparametric monotonicity
L3-3,L3,stage1 fit,"EL,fitted mean",residualized effect,mu(U) visualization,PARTIAL,READY,L3-3__residualized_effect_fit_ci.png,stage1-style fit
R1-1,R1,B1/B2/B3,"x,y,XPD_early_ex",heatmap facet,spatial pattern,PASS,READY,R1-1__B123_heatmap_xpd_early_ex.png,facet B1/B2/B3
R1-2,R1,B1/B2/B3,"x,y,rho_early",heatmap facet,cross contamination map,PASS,READY,R1-2__B123_heatmap_rho_early.png,facet B1/B2/B3
R1-3,R1,B1/B2/B3,"x,y,L_pol",heatmap facet,early-late structure map,PASS,READY,R1-3__B123_heatmap_lpol.png,facet B1/B2/B3
R1-4,R1,B pooled,LOS/NLOS grouped metrics,grouped CDF/box,group difference,PASS,READY,R1-4__los_nlos_grouped_metrics.png,LOS/NLOS grouped CDFs
R2-1,R2,B pooled,"XPD_early_ex,DS",XPD vs DS,useful/risky relation,PASS,READY,R2-1__xpd_early_ex_vs_ds_B123.png,B1/B2/B3 pooled
R2-2,R2,B pooled,"rho_early,DS",rho vs DS,contamination relation,PASS,READY,R2-2__rho_early_vs_ds_B123.png,B1/B2/B3 pooled
R2-3,R2,B pooled,"XPD,DS,L_pol",quadrant plot,useful vs risky regions,PASS,READY,R2-3__quadrant_useful_vs_risky.png,median-threshold quadrants
R2-4,R2,B pooled,"early_fraction,XPD",early fraction vs XPD,early concentration link,PASS,READY,R2-4__early_fraction_vs_xpd_early_ex.png,system-surrogate link
P1-1,P1,A3/A4/B,"observed,predicted",CDF overlay,conditional>constant,PASS,READY,P1-1__observed_vs_predicted_cdf_overlay.png,simple linear proxy
P1-2,P1,A3/A4/B,bin medians,pred vs obs bin medians,condition-wise fit,PASS,READY,P1-2__predicted_vs_observed_bin_median.png,EL tertiles
P1-3,P1,A3/A4/B,ranks,rank agreement scatter,Spearman advantage,PASS,READY,P1-3__rank_agreement_scatter.png,Spearman-oriented
P1-4,P1,A3/A4/B,residual,residual vs EL,reduced EL bias,PASS,READY,P1-4__residual_vs_el.png,EL bias check
P2-1,P2,full vs minimal,effect-size set,effect-size comparison,minimal reproducibility,PASS,READY,P2-1__full_vs_minimal_effect_size.png,G1/G2/L3/R1 effect compare
P2-2,P2,subsampling,coefficients,coefficient stability,sign/scale stability,PASS,READY,P2-2__coefficient_stability_subsampling.png,bootstrap slope distribution
P2-3,P2,full vs minimal,CDF,CDF overlay,distribution reproducibility,PASS,READY,P2-3__full_vs_minimal_cdf_overlay.png,distribution-level reproducibility
