proposition,experiment,required_data,key_tests,criterion,pass_fail,plot_ready,plot_files_found,plot_files_missing,notes
M1,C0 거리x각도 sweep,"co/cross PDP, XPD(floor)",XPD_floor vs 거리/각도 + box/CDF,거리 의존 약함 + 각도 민감도,PASS,READY,C0__ALL__xpd_floor_vs_distance.png; C0__ALL__xpd_floor_vs_yaw.png; C0__ALL__xpd_floor_cdf.png; M1__C0_xpd_floor_box_by_yaw.png,,
M2,C0 + 전체 시나리오,"XPD_excess, Delta_floor",inside/outside floor band ratio,채널 주장 구간/불확실 구간 분리,PASS,READY,M2__inside_outside_ratio.png,,
G1,A2 odd + LOS 차단,"co/cross PDP, XPD_early_ex, rho_early",PDP overlay + tap-wise XPD + 분포,odd에서 early cross 우세,PASS,READY,A2A3C0__ALL__xpd_early_ex_cdf.png; G1__A2_case0__pdp_overlay.png; G1__A2_case0__tap_xpd_tau.png,,
G2,A3 even + LOS 차단,"co/cross PDP, XPD_early_ex, rho_early",A2 대비 CDF/box,A3가 A2 대비 반대방향,PARTIAL,READY,A2A3__ALL__xpd_early_ex_box.png; A2A3__ALL__xpd_early_ex_cdf.png,,
G3,A2/A3 + A4/A5,XPD_ex 분산/꼬리,조건별 CDF + 분산 비교,완전분리 아님 + 조건별 변동,PASS,READY,G3__xpd_early_ex__scenario_cdf.png; G3__xpd_early_ex__std_bar.png,,"median_span=11.439 dB, delta_floor=0.611 dB, iqr_overlap=True"
L1,A2-A5 + room,"XPD_early_ex, XPD_late_ex, L_pol",L_pol box + early-late scatter,"기본 L_pol>0, stress 예외",PASS,READY,ALL__early_late_ex_box.png; L1__early_vs_late_ex_scatter.png,,
L2,A4 material / A5 stress,material/stress label + XPD_ex,material/stress CDF + effect size,재질/스트레스에 따라 평균/분산 이동,PASS,READY,L2__A4_material_xpd_early_ex_cdf.png; L2__A5_base_vs_stress_lpol_cdf.png,,
L3,통제+room + EL proxy,"EL, XPD_ex",scatter + Spearman,EL 증가에 따라 XPD/XPR 감소 단조,PARTIAL,READY,ALL__xpd_early_ex_vs_el_proxy.png,,
R1,room grid LOS/NLOS,"Z 맵(XPD_ex, rho, L_pol, DS)",heatmap + LOS/NLOS CDF,공간 분포 + LOS/NLOS 차이,PASS,READY,B__ALL__heatmap_xpd_early_ex.png; B__ALL__heatmap_lpol.png; B__ALL__los_nlos_xpd_ex_cdf.png,,
R2,room grid + 지표 연결,Z와 DS/early집중도,"DS vs XPD_ex, DS vs rho",유효조건 영역 분리,PASS,READY,ALL__ds_vs_xpd_early_ex.png; R2__ds_vs_rho_early_db.png,,
P1,전체 데이터(통제+room),"Z, U(EL/material/late)",조건부모델 vs 상수모델,조건부 모델 예측 우수,PASS,READY,P1__model_vs_constant_metrics.png,,
P2,최소세트 subsampling,부분 샘플 반복,계수 부호 안정성,표본 축소에도 결론 유지,PASS,READY,P2__subsampling_sign_keep_rate.png,,
